transaction_id,transaction_date,month_start,tx_year,tx_month,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,current_age,gender,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,card_brand,card_type,card_has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,credit_score_band,age_group,utilization_ratio
7475327,"2010-01-01 00:01:00",2010-01-01,2010,1,1556,2972,-77.00,0,59935,Beulah,ND,58523,5499,,30,Female,0.00,0.00,0.00,740,4,Mastercard,"Debit (Prepaid)",0,2,55.00,2008-05-01,2008,0,"Good (700-749)",25-34,-1.4000
7475328,"2010-01-01 00:02:00",2010-01-01,2010,1,561,4575,14.57,0,67570,Bettendorf,IA,52722,5311,,48,Male,0.00,0.00,0.00,834,5,Mastercard,Credit,0,1,9100.00,2005-09-01,2015,0,"Excellent (750+)",45-54,0.0016
7475329,"2010-01-01 00:02:00",2010-01-01,2010,1,1129,102,80.00,0,27092,Vista,CA,92084,4829,,49,Male,0.00,0.00,0.00,686,3,Mastercard,Debit,0,1,14802.00,2006-01-01,2008,0,"Fair (650-699)",45-54,0.0054
7475331,"2010-01-01 00:05:00",2010-01-01,2010,1,430,2860,200.00,0,27092,"Crown Point",IN,46307,4829,,52,Female,0.00,0.00,0.00,685,5,Mastercard,Debit,0,2,37634.00,2004-05-01,2006,0,"Fair (650-699)",45-54,0.0053
7475332,"2010-01-01 00:06:00",2010-01-01,2010,1,848,3915,46.41,0,13051,Harwood,MD,20776,5813,,51,Male,0.00,0.00,0.00,711,2,Visa,Debit,0,1,19113.00,2009-07-01,2014,0,"Good (700-749)",45-54,0.0024
7475333,"2010-01-01 00:07:00",2010-01-01,2010,1,1807,165,4.81,0,20519,Bronx,NY,10464,5942,,47,Female,0.00,0.00,0.00,828,5,Mastercard,"Debit (Prepaid)",0,1,89.00,2008-01-01,2015,0,"Excellent (750+)",45-54,0.0540
7475334,"2010-01-01 00:09:00",2010-01-01,2010,1,1556,2972,77.00,0,59935,Beulah,ND,58523,5499,,30,Female,0.00,0.00,0.00,740,4,Mastercard,"Debit (Prepaid)",0,2,55.00,2008-05-01,2008,0,"Good (700-749)",25-34,1.4000
7475337,"2010-01-01 00:21:00",2010-01-01,2010,1,351,1112,10.74,0,3864,Flushing,NY,11355,5813,,91,Female,0.00,0.00,0.00,807,6,Mastercard,"Debit (Prepaid)",0,2,54.00,2007-02-01,2010,0,"Excellent (750+)",65+,0.1989
7475338,"2010-01-01 00:23:00",2010-01-01,2010,1,554,3912,3.51,0,67570,Pearland,TX,77581,5311,,59,Male,0.00,0.00,0.00,690,5,Visa,Debit,0,1,25658.00,2009-07-01,2009,0,"Fair (650-699)",55-64,0.0001
7475339,"2010-01-01 00:23:00",2010-01-01,2010,1,605,5061,2.58,0,75781,Brooklyn,NY,11210,5411,,42,Male,0.00,0.00,0.00,725,3,Visa,Debit,0,2,1484.00,2006-10-01,2011,0,"Good (700-749)",35-44,0.0017
